sku,nome,categoria,preco
3067864,Notebook Gaming MSI 15M A11UEKV-009US i7 de 11a 16GB 512GB SSD RTX3060 6GB 15.6,Notebook,1425.00
3081877,Notebook Gaming MSI A11MU-653US Intel i7-1195G7 8GB 512GB SSD 15.6 FHD W10,Notebook,670
3083475,Notebook Gaming MSI B10MW-014US Intel i5-10210U 8GB 256GB SSD 14.0 FHD W10 Pro,Notebook,578
3284292,Notebook Gaming XPG Xenia 15 Intel i7 de 9Â° 16GB 512GB GTX 1660 Ti 6GB 15.6 FH,Notebook,1110.00
3070352,Notebook Gateway GWNR71517-BK AMD Ryzen 7 3700U 8GB 512GB SSD 15.6 FHD W11,Notebook,378
3070369,Notebook Gateway GWNR71517-BK AMD Ryzen 7 3700U 8GB 512GB SSD 15.6 FHD W11,Notebook,365
3033081,Notebook Gateway GWTN116-3BK Intel Celeron N4020 4GB 64GB eMMC 11.6 HD W10,Notebook,175
3033098,Notebook Gateway GWTN116-3BL Intel Celeron N4020 4GB 64GB eMMC 11.6 HD W10,Notebook,175
3033104,Notebook Gateway GWTN116-3GR Intel Celeron N4020 4GB 64GB eMMC 11.6 HD W10,Notebook,175
3033111,Notebook Gateway GWTN116-3RD Intel Celeron N4020 4GB 64GB eMMC 11.6 HD W10,Notebook,175
2859408,Notebook Gateway GWTN141-3BK Intel i3 de 10a 4GB 128GB SSD 14.1 FHD W10,Notebook,305
2859385,Notebook Gateway GWTN141-5BK Intel Celeron N4020 4GB 64GB eMMC 14.1 FHD W10,Notebook,183
2859361,Notebook Gateway GWTN141-6BK Intel i3 de 11a 4GB 128GB SSD 14.1 FHD W10,Notebook,335
3102992,Notebook Gateway GWTN141-6BK Intel i3 de 11a 4GB 128GB SSD 14.1 FHD W10,Notebook,345
2959870,Notebook Gateway GWTN156-11MC-GR Intel Pentium N5030 4GB 128GB eMMC 15.6 FHD W1,Notebook,228
2959894,Notebook Gateway GWTN156-11RD Intel Pentium N5030 4GB 128GB eMMC 15.6 FHD W10,Notebook,228
3031384,Notebook Gateway GWTN156-12BK AMD Ryzen 3 3250U 4GB 128GB SSD 15.6 FHD W10,Notebook,270
3322741,Notebook Gigabyte Aero 5 XE4-73US614SH i7 12a 16GB 1TB SSD RTX3070 Ti 8GB 15.6,Notebook,1590.00
3322758,Notebook Gigabyte Aorus 5 SE4-73US513SH i7 12a 16GB 512GB SSD RTX3070 8GB 15.6,Notebook,1490.00
3333884,Notebook Gigabyte G5 MD-51US113SO i5-11400 8GB 512GB SSD RTX3050 Ti 4GB 15.6 FH,Notebook,758
3040010,Notebook Gigabyte KD-72US223SH i7 11a 16GB 512GB SSD RTX3060 6GB 15.6 FHD W10,Notebook,1490.00
3144695,Notebook Lenovo 100E 2ND Gen Intel Celeron N4020 4GB 64GB eMMC 11.6 HD W10,Notebook,139.9
2670775,Notebook Lenovo 14ARE05 AMD R7 4700U 2.0Ghz 8GB 256GB SSD 14.0 FHD W10,Notebook,640
2592497,Notebook Lenovo 14w AMD A6-9220C 1.8Ghz 4GB 64GB eMMC 14.0 FHD W10,Notebook,199
2662794,Notebook Lenovo 15ADA05 AMD R5 3500U 2.1Ghz 8GB 256GB SSD 15.6 FHD W10,Notebook,485
2787565,Notebook Lenovo 5 15IMH05H Intel Core i7 de 10a 8GB 512GB GTX1660 Ti 6GB 15.6 F,Notebook,1110.00
3305553,Notebook Lenovo IdeaPad 1 15ALC75 AMD R7 5700U 12GB 512GB SSD 15.6 Touch FHD W1,Notebook,638
3275801,Notebook Lenovo IdeaPad 15ITL05 Intel I7-1165G7 12GB 512GB SSD 15.6 Touch FHD W,Notebook,744
3034163,Notebook Lenovo IdeaPad 3 14IGL05 Intel Pentium N5030 4GB 128GB SSD 14.0 HD W10,Notebook,260
3025703,Notebook Lenovo IdeaPad 3 14IIL05 Intel i3 de 10a 4GB 128GB SSD 14.0 FHD W10,Notebook,338
